# 8万精准超小词库
# 原始出处未知，多音字注音移除，第一个词“是的这个”改成“是的”
# https://github.com/studyzy/imewlconverter/blob/master/参考/8万精准超小词库.txt
#
# 词语	多音字备注

强权政治	强qiang
在水一方	
治安处罚	
事不关己	
伟大领袖	大da
不让须眉	
不行不行	行xing|行xing
出庭作证	
慈禧太后	
打电话给	给gei
大好河山	大da
颠沛流离	
防护用品	
害人害己	
化繁为简	繁fan
男女老幼	
枪林弹雨	弹dan
上帝保佑	
生龙活虎	
声情并茂	
体力不支	
投怀送抱	
土地革命	地di|革ge
脱离危险	
心悦诚服	
业务骨干	
殷切期望	殷yin|期qi
有形资产	
克己奉公	
海滨浴场	
精诚团结	
四季如春	
逻辑结构	
操作不当	
长久之计	长chang
功利主义	
唠唠叨叨	叨dao|叨dao
抑扬顿挫	顿dun
大势已去	大da
社交场合	合he
穷困潦倒	潦liao
以泪洗面	洗xi
收复失地	地di
长得漂亮	长zhang|得de
此起彼伏	
低级趣味	
独辟蹊径	辟pi|蹊xi
发挥余热	
风吹雨打	
高朋满座	
横眉冷对	
化为泡影	
磕磕绊绊	
空中飞人	
浪子回头	
连绵起伏	
令人愉快	
茫然不知	
曲终人散	
热血青年	血xue
人人平等	
思绪万千	思si|万wan
天下太平	
亭台楼阁	
维持现状	
凶神恶煞	恶e
学术观点	术shu
循环往复	
阳奉阴违	
仰卧起坐	
摇摆不定	
中国股市	
住院病人	
玲珑剔透	
不是别的	的de
揭竿而起	
老谋深算	
全盘否定	否fou
苏门答腊	腊la
韬光养晦	
旁系血亲	系xi|血xue|亲qin
官方语言	
特殊照顾	
变化无常	无wu
充满热情	
大有作为	大da
东窗事发	
活在世上	
尽我所能	
穷途末路	
穷凶极恶	恶e
热火朝天	朝chao
如法炮制	炮pao
如梦初醒	
书香门第	
四处奔波	
无法逃避	无wu
无所不包	无wu
想起什么	什shen|么me
心存感激	
哑然失笑	
一贫如洗	洗xi
一氧化碳	
伊斯兰堡	堡bao
有太多的	的de
郁郁寡欢	
远走高飞	
河东狮吼	
冒险精神	冒mao
情投意合	合he
人无我有	无wu
僧多粥少	粥zhou
切切实实	
赤子之心	
半夜三更	
濒临灭绝	
不知所云	
沉着冷静	着zhuo
赤手空拳	
打抱不平	
大家闺秀	大da|家jia
锻炼身体	
昏天黑地	地di
惊鸿一瞥	
乐不可支	乐le
蛮不讲理	
起伏不定	
荣辱与共	
师范学校	校xiao
天女散花	
同仇敌忾	仇chou|忾kai
痛快淋漓	
推理小说	说shuo
威逼利诱	
武装冲突	
险象环生	
笑容满面	
一刹那间	刹cha|那na
一言难尽	
应变能力	
硬笔书法	
自由民主	
会心一笑	会hui
唇枪舌剑	
多姿多彩	
惊涛拍岸	
错过机会	会hui
魅力十足	
实在是高	
外汇管制	
放心大胆	大da
八卦新闻	
大兴土木	大da
防病治病	
风月无边	无wu
高潮迭起	
革命运动	革ge
工程塑料	
杭锦后旗	
好了好了	了le|了le
慷慨陈词	
燃料电池	
十六进制	六liu
似懂非懂	似si
无价之宝	无wu|价jia
摇旗呐喊	呐na
一见如故	见jian
一片哗然	
有的时候	的de
值得一读	得de|读du
仲裁机构	
兼收并蓄	
厉兵秣马	
紧追不舍	
决胜千里	
安家落户	家jia|落luo
国家主权	家jia
憨态可掬	
诺亚方舟	
扑鼻而来	
盛气凌人	盛sheng
引经据典	
国共合作	合he
闲着没事	着zhe|没mei
欲擒故纵	
一吐为快	
不论什么	什shen|么me
不知何故	
趁火打劫	
吃饱喝足	
赶赴现场	
毫不畏惧	
接待客人	
九牛一毛	
君主专制	
名人效应	
磨刀霍霍	
能说会道	说shuo|会hui
轻车熟路	车che|熟shu
世态炎凉	
四舍五入	
这不可能	这zhe
这还不是	这zhe|还hai
转变职能	转zhuan
令人痛心	
那为什么	那na|什shen|么me
不便之处	便bian
喜结良缘	
记不清楚	
太平盛世	盛sheng
爱乐乐团	乐yue|乐yue
济济一堂	
江郎才尽	
逃过一劫	
学有所成	
掩耳盗铃	
打草惊蛇	蛇she
玉皇大帝	大da
违反纪律	
中学老师	
智力发展	
一去不返	
保持不变	
出厂日期	厂chang|期qi
非比寻常	寻xun
风景秀丽	
韩国泡菜	
毫无兴趣	无wu
好自为之	
基本粒子	
集中兵力	
君子好逑	
开不了口	了liao
略胜一筹	
噼里啪啦	
晴空万里	万wan
入乡随俗	
生活起居	
施展才能	
塔里木河	塔ta
嬉皮笑脸	
小题大做	大da
一片狼藉	藉ji
一纸空文	
永垂不朽	
动手动脚	脚jiao
繁花似锦	繁fan|似si
空空导弹	弹dan
数学公式	数shu
越南战争	南nan
惴惴不安	
准确无误	无wu
蓬头垢面	
有思想的	思si|的de
现役军官	
妄自菲薄	薄bo
巴伐利亚	
打道回府	
掉以轻心	
繁衍生息	繁fan
非常厉害	
豪情万丈	万wan
回光返照	
救亡图存	亡wang
录音磁带	
屡禁不绝	
民族气节	
七零八落	落luo
取信于民	
身外之物	
十年寒窗	
实时监控	
守口如瓶	
无坚不摧	无wu
先知先觉	觉jue
夜不能寐	
一字之差	差cha
因果关系	系xi
致开幕词	
汪洋大海	大da
打听一下	
原形毕露	露lu
殚精竭虑	
滴水不漏	
法定人数	数shu
踉踉跄跄	
盆满钵满	
情感上的	的de
十之八九	
等价交换	价jia
产业革命	革ge
系统阐述	系xi
不畏艰难	
不走过场	
出乎意料	
电磁感应	
高尚的人	的de
古典音乐	乐yue
荒无人烟	无wu|烟yan
极目远眺	
江山美人	
久别重逢	重chong
利弊得失	得de
满面春风	
梅花三弄	弄nong
起早贪黑	
亲眼见到	亲qin|见jian
请客吃饭	
杀气腾腾	
所得税率	得de|率lv
唾手可得	得de
卫国战争	
衣食父母	食shi
勇挑重担	重zhong
有所不为	
珍珠项链	
中国南方	南nan
集市贸易	
苦尽甘来	
读写能力	读du
过眼烟云	烟yan
如此一来	
盛极一时	盛sheng
一脸茫然	
元气大伤	大da
时好时坏	坏huai
多劳多得	得de
吓死我了	吓xia|了le
由东向西	
生杀大权	大da
正常渠道	
毕业文凭	
濒临破产	
超额利润	
大不如前	大da
大是大非	大da|大da
点睛之笔	
对立统一	
乏善可陈	
孤寡老人	
广开言路	广guang
结婚戒指	
救国救民	
临门一脚	脚jiao
令人困惑	
眉清目秀	
灭绝人性	
破烂不堪	
山盟海誓	
以偏概全	
燎原之势	
重振雄风	重chong
安全级别	
国际收支	
乐极生悲	乐le
显现出来	
转危为安	转zhuan
吃饭时间	
粗放经营	
疏忽大意	大da
白头偕老	
博大精深	大da
不曾有过	曾ceng
长途旅行	长chang|行xing
大为改观	大da
呆若木鸡	若ruo
对华政策	
风光旖旎	
拐弯抹角	抹mo|角jiao
看不过去	
奇耻大辱	奇qi|大da
清风明月	
眼花缭乱	
以理服人	
与之相反	
志存高远	
种类繁多	种zhong|繁fan
重见天日	重chong|见jian
利欲熏心	
凑在一起	
滚滚而来	
锅碗瓢盆	
寒冬腊月	腊la
惶恐不安	
见异思迁	见jian|思si
猛龙过江	
喜上眉梢	梢shao
学龄儿童	
掌握主动	
值得尊敬	得de
最有意义	
生死攸关	
债台高筑	
一连几天	
不明真相	
藏龙卧虎	藏cang
大力提倡	大da|提ti
地球表面	地di
法学博士	
过氧化物	
冷若冰霜	若ruo
怜香惜玉	
令人捧腹	
令人厌恶	恶wu
披头散发	
翘首以待	
请客送礼	
妩媚动人	
希望你能	
虚位以待	
血肉之躯	血xue
阴谋诡计	
掌上明珠	
知识青年	识shi
自费留学	
自认倒霉	
自我陶醉	陶tao
尊姓大名	大da
我注意到	
心高气傲	
把握时机	
图书馆学	
细枝末节	
百感交集	百bai
不用多说	说shuo
地老天荒	地di
拿手好戏	戏xi
推心置腹	
供过于求	
短小精悍	
凡夫俗子	
反复无常	无wu
山穷水尽	
不足为怪	
朝思暮想	朝zhao|思si
流传开来	传chuan
拍手称快	称cheng
亲生女儿	亲qin
非法收入	
牢骚满腹	
披荆斩棘	
任人唯亲	亲qin
先走一步	
小家碧玉	家jia
以牙还牙	还huan
精明强干	强qiang
四处张望	
为国争光	
因噎废食	食shi
触类旁通	
改朝换代	朝chao
过氧化氢	
满城风雨	
什么味道	什shen|么me
意欲何为	
三六九等	六liu
流血事件	血xue
翻天覆地	地di
迷途知返	
艺术体操	术shu
穿针引线	
知无不言	无wu
大体相当	大da
生搬硬套	
不受侵犯	
民脂民膏	
金蝉脱壳	壳qiao
康定情歌	
听不进去	
同流合污	合he
愚公移山	
不能不说	说shuo
蒙哥马利	
记不起来	
一问一答	
垂涎三尺	尺chi
我们究竟	
嬉笑怒骂	
退避三舍	
逆来顺受	
低声下气	
人浮于事	
金科玉律	
唉声叹气	
宽宏大量	大da
死于非命	
一小部分	
正面交锋	
间谍活动	
印第安纳	
无源之水	无wu
旱涝保收	
镜花水月	
慈善事业	
鼎鼎大名	大da
难兄难弟	
时装表演	
战火纷飞	
更有甚者	
我的鼻子	的de
附庸风雅	
骂骂咧咧	
墨西哥人	
水乳交融	
双面打印	
人事安排	
社会底层	会hui|底di
沸沸扬扬	
遇到麻烦	
资金短缺	
耀武扬威	
博览群书	
公布于众	
麻婆豆腐	
应该做的	的de
视若无睹	若ruo|无wu
蝇头小利	
漏网之鱼	
伸张正义	
日月星辰	
一技之长	长chang
实际利率	率lv
任人宰割	
个别谈话	
肩负重任	重zhong
喧宾夺主	
浑水摸鱼	
二中全会	会hui
各奔东西	
独到见解	见jian|解jie
死而后已	
我从没有	没mei
小伙子们	
步步紧逼	
凌晨时分	
失去知觉	觉jue
懵懵懂懂	
长途电话	长chang
人皆有之	
不得要领	得de
绝代佳人	
先入为主	
大户人家	大da|家jia
高音喇叭	
溃不成军	溃kui
立法委员	员yuan
三番五次	番fan
深山老林	
顺水推舟	
死缠烂打	
先头部队	
镇定自若	若ruo
貌合神离	合he
同月同日	
诬告陷害	
惊弓之鸟	鸟niao
一刀两断	
孤立无援	无wu
在你心中	
金光大道	大da
费尽心思	思si
金玉良言	
机会均等	会hui
良家妇女	家jia
从左至右	
废物利用	
非法拘禁	
胡搅蛮缠	
时断时续	
无法显示	无wu
不安全感	
二十三条	
拍案叫绝	
司法腐败	
不管怎样	
测量仪器	
囤积居奇	囤tun|奇qi
狼烟四起	烟yan
不虚此行	行xing
零存整取	
生根发芽	
直系亲属	系xi|亲qin|属shu
不学无术	无wu|术shu
拈花惹草	
体察民情	
文学青年	
不义之财	
拍案而起	
相敬如宾	
有一个人	
离经叛道	
先见之明	见jian
大动干戈	大da
担惊受怕	
势不两立	
一诺千金	
狐假虎威	
嫉恶如仇	恶e|仇chou
旁敲侧击	侧ce
升官发财	
激光照排	
如胶似漆	似si
云贵高原	
不自量力	
举目无亲	无wu|亲qin
没有止境	没mei
无伤大雅	无wu|大da
文化冲突	
本地连接	地di
一年半载	
密苏里州	
自由落体	落luo
难以自拔	
锐意改革	革ge
自此以后	
毫不在乎	
确有其事	其qi
可怜的人	的de
赔礼道歉	
人行横道	行xing
无处藏身	无wu|藏cang
有则改之	
关联交易	
全权代表	
原则立场	
声名鹊起	
反面教材	
声色犬马	色se
二分之一	
登门拜访	
明白了吧	了le
能不能够	
下落不明	落luo
不够充分	
敲锣打鼓	
人烟稀少	烟yan
是我不好	
为情所困	
病情恶化	恶e
寸土寸金	
决一死战	
舍本逐末	
打个电话	
某种目的	种zhong|的di
以身试法	
抓大放小	大da
絮絮叨叨	叨dao|叨dao
稳步前进	
爬行动物	行xing
毋庸讳言	
天荒地老	地di
墨索里尼	
材料力学	
怒发冲冠	
如获至宝	
和衷共济	和he
动力装置	
笑个不停	
战略转移	转zhuan
多功能厅	
言不由衷	
喜悦之情	
午夜凶铃	
重男轻女	重zhong
风光秀丽	
人文主义	
生产过剩	
文学批评	
掩人耳目	
不利地位	地di
无话不谈	无wu
毅然决然	
点头答应	
难以预测	
人的本质	的de
人无完人	无wu
说普通话	说shuo
白天黑夜	
辛苦工作	
言听计从	
不畏艰险	
聚众赌博	
十七世纪	
实况录像	
玩具娃娃	
彻彻底底	底di|底di
燃气轮机	
笑逐颜开	
喜笑颜开	
百里挑一	百bai
加快脚步	脚jiao
恍如隔世	
火光冲天	
政治委员	员yuan
依然如故	
高抬贵手	
摆在面前	
别有洞天	
访问学者	
分秒必争	
同工同酬	
不下去了	了le
糖衣炮弹	炮pao|弹dan
分崩离析	
话不投机	
不留痕迹	
一锤定音	
鼻青脸肿	
刮风下雨	
亲生父母	亲qin
北京烤鸭	
不骄不躁	
党纪国法	
亿万富翁	万wan
呼朋唤友	
酒后开车	车che
狂妄自大	大da
约法三章	约yue
黄土高坡	
深谋远虑	
一见倾心	见jian
不会答应	会hui
葡萄牙人	
走南闯北	南nan
六亲不认	六liu|亲qin
高考作文	
亚欧大陆	大da|陆lu
生气勃勃	
所向无敌	无wu
不太清楚	
登堂入室	
脱脂奶粉	
一无所有	无wu
可怜巴巴	
没头没脑	没mei|没mei
安定下来	
二十二年	
如今已是	
阴魂不散	
背井离乡	
看也不看	
成败得失	得de
慌不择路	择ze
内外勾结	
破涕为笑	
无米之炊	无wu
欲盖弥彰	盖gai
忙而不乱	
丢人现眼	
挤眉弄眼	弄nong
曲曲折折	折zhe|折zhe
表示敬意	
天崩地裂	地di
一再表示	
四大美女	大da
复合肥料	合he
长年累月	长chang
有失偏颇	
停薪留职	
超乎寻常	寻xun
良辰美景	
破土动工	
徒劳无功	无wu
比较落后	落luo
魂不守舍	
无事生非	无wu
勤奋努力	
说文解字	说shuo|解jie
不惜重金	重zhong
惊人之举	
无疾而终	无wu
呐喊助威	呐na
庸人自扰	
如果我说	说shuo
节衣缩食	缩suo|食shi
息事宁人	
盲人摸象	
任其发展	其qi
大干一场	大da
倒行逆施	行xing
口口相传	传chuan
亿万人民	万wan
骑虎难下	骑qi
前途未卜	卜bu
人人喊打	
经久不息	
为非作歹	
传道授业	传chuan
特技飞行	行xing
忽明忽暗	
国家机器	家jia
七上八下	
以貌取人	
见钱眼开	见jian
江河日下	
爱上了她	了le
百年诞辰	百bai
声东击西	
投机倒把	
新官上任	
飘飘欲仙	
莫过于此	
兵临城下	
圣卢西亚	
越来越近	
百尺竿头	百bai|尺chi
发人深思	思si
国有银行	行hang
正大光明	大da
直流电机	
普遍规律	
退居二线	
满面笑容	
杀人放火	
绵延不绝	
十二月份	
短短几天	
法律援助	
分庭抗礼	
文学语言	
彼此彼此	
地久天长	地di|长chang
走走看看	
班门弄斧	弄nong
大义凛然	大da
票房收入	房fang
回忆往事	
江山如画	
口出狂言	
土著居民	著zhu
浅显易懂	浅qian
传宗接代	传chuan
大难不死	大da
英雄好汉	
大闹天宫	大da
大风大浪	大da|大da
人以群分	
生津止渴	
空即是色	色se
敷衍塞责	塞se
惊为天人	
乱作一团	
从明年起	
感情丰富	
困难时期	期qi
解析几何	解jie
不但如此	
复员军人	员yuan
二十一年	
驻华大使	大da
两肋插刀	肋lei
创造发明	
洞房花烛	房fang
黄色笑话	色se
一念之间	
百年一遇	百bai
揭开序幕	
来者不善	
乌合之众	合he
淫秽物品	
抱头痛哭	
初级产品	
悔之晚矣	
五十多年	
避暑胜地	地di
耳熟能详	熟shu
二十六年	六liu
不堪入目	
寸步不离	
志同道合	合he
积少成多	
里应外合	合he
哪一方面	哪na
合法政府	合he
强颜欢笑	强qiang
球墨铸铁	
人情世故	
血流成河	血xue
血雨腥风	血xue
在天之灵	
输气管道	
白里透红	红hong
封建社会	会hui
见过世面	见jian
不苟言笑	
如饥似渴	似si
已经习惯	
意下如何	
照明设计	
爱美之心	
不如说是	说shuo
大开杀戒	大da
孤男寡女	
拉拉扯扯	
音容笑貌	
众说纷纭	说shuo
含苞欲放	
南征北战	南nan
愁眉不展	
课外作业	
在劫难逃	
保守主义	
劳累过度	度du
半斤八两	
世说新语	说shuo
拖拖拉拉	
向下兼容	
哭丧着脸	着zhe
不可磨灭	
不冷不热	
素面朝天	朝chao
支气管炎	
乐不思蜀	乐le|思si
初见端倪	见jian
号啕大哭	大da
波光粼粼	
过往行人	行xing
为民请命	
小鸟依人	鸟niao
衣衫褴褛	
资金回笼	
喜形于色	色se
死不瞑目	
征婚启事	
神秘兮兮	秘mi
暮鼓晨钟	
天长日久	长chang
精锐部队	
人本主义	
各自为政	
皮下注射	
物华天宝	
捕风捉影	
七七八八	
宁死不屈	
现代汉语	
战斗英雄	
不亦乐乎	乐le
地大物博	地di|大da
鸡飞狗跳	
满腔热血	血xue
四平八稳	
一笔勾销	
中秋月饼	
付诸东流	
一瘸一拐	
方方正正	
各家各户	家jia
官僚资本	
皓月当空	
长势喜人	长zhang
大政方针	大da
化公为私	
热稳定性	
衣冠楚楚	
由南向北	南nan
省油的灯	省sheng|的de
病理变化	
耐着性子	着zhe
替天行道	行xing
席地而坐	地di
通信卫星	
恻隐之心	
不共戴天	
防治效果	
一泻千里	
三教九流	
大展宏图	大da
三更半夜	
工薪阶层	
引人入胜	
加拿大元	大da
阿甘正传	阿a|传zhuan
处于下风	
服毒自杀	
姑息迁就	
不免有些	
置身事外	
当头棒喝	
流芳百世	百bai
马首是瞻	
天府之国	
一念之差	差cha
年轻貌美	
安度晚年	度du
头重脚轻	重zhong|脚jiao
薪火相传	传chuan
旁征博引	
饮食起居	食shi
废话少说	说shuo
头脑简单	单dan
无人不知	无wu
一代新人	
小学同学	
百舸争流	百bai
大队人马	大da
寒风刺骨	
侵犯人权	
舍己为人	
装订成册	
相视而笑	
中国作协	
测试报告	
年年有余	
人民法庭	
头脑灵活	
显得格外	得de
血气方刚	血xue
自我反省	省xing
巴尔扎克	扎zha
吵吵闹闹	
认识事物	识shi
五谷丰登	谷gu
席卷全球	
昏死过去	
匠心独运	
大逆不道	大da
从今天起	
人造纤维	纤xian
黯然神伤	
不可战胜	
爱屋及乌	
一线生机	
生日宴会	会hui
不可改变	
浮游生物	
见招拆招	见jian|拆chai
闻风而动	
深感不安	
无论哪个	无wu|哪na
酿成大祸	大da
为之一振	
触手可及	
初步查明	查cha
山洪暴发	暴bao
恬不知耻	
画饼充饥	
心里没底	没mei|底di
行政院长	行xing|长zhang
真对不起	
继续革命	革ge
年轻气盛	盛sheng
世间万物	万wan
语文教材	
打击乐器	乐yue
氢氧化铝	
私人资本	
二次开发	
身强力壮	强qiang
深不见底	见jian|底di
感激涕零	
犯罪团伙	
人机对话	
自筹经费	
不再相信	
冤假错案	
无可置疑	无wu
不惑之年	
妇孺皆知	
驱逐出境	
孤家寡人	家jia
包办代替	
年过半百	百bai
唯物史观	
一错再错	
苍白的脸	的de
魔高一丈	
四海为家	家jia
头晕眼花	
载入史册	
不由自主	
撒手不管	
无线电波	无wu
中美关系	系xi
拔苗助长	长zhang
爱莫能助	
翻云覆雨	
争风吃醋	
形迹可疑	
兴师动众	
在困境中	
打退堂鼓	
大大高于	大da|大da
听不清楚	
林海雪原	
防守反击	
撒腿就跑	
丝丝入扣	
爱理不理	
人约黄昏	约yue
技不如人	
全然不知	
骨瘦如柴	
当头一棒	
和好如初	和he
绝不可以	
老态龙钟	
妖魔鬼怪	
有何意义	
交换条件	
思前想后	思si
开路先锋	
相互尊重	重zhong
烫手山芋	
一家老小	家jia
强弩之末	强qiang
单身贵族	单dan
高档商品	
加速上扬	
空洞无物	无wu
来日方长	长chang
气象观测	
文件修复	
照本宣科	
终其一生	其qi
逆流而上	
欺上瞒下	
一劳永逸	
不辞辛劳	
黄道吉日	
兼听则明	
只字不提	提ti
谦谦君子	
监守自盗	
涌了出来	涌yong|了le
更感兴趣	
何乐不为	乐le
满腹经纶	纶lun
貌不惊人	
言之凿凿	凿zao|凿zao
光着身子	着zhe
辛辛苦苦	
信口雌黄	
锦绣前程	
无为而治	无wu
大鱼大肉	大da|大da
千载难逢	
三通一平	
北爱尔兰	
添油加醋	
百年好合	百bai|合he
胎死腹中	
五十多岁	
捉摸不定	
自立门户	
不久以后	
辞职报告	
厄尔尼诺	
真不愧是	
鸡鸭鱼肉	
自卑心理	
假公济私	
昂首挺胸	
赶尽杀绝	
无依无靠	无wu|无wu
掌声雷动	
大半辈子	大da
爬不起来	
锒铛入狱	铛dang
共进午餐	
保家卫国	家jia
附加条件	
舍不得你	得de
引狼入室	
执法不公	
治学严谨	
空军司令	
谋财害命	
文不对题	
中亚地区	地di|区qu
但求无过	无wu
地下工作	地di
别出心裁	
金玉其外	其qi
日经指数	数shu
世界货币	
无可挽回	无wu
神经末梢	梢shao
必有我师	
裹足不前	
滥杀无辜	无wu
扫地出门	地di
如雷贯耳	
服务员说	员yuan|说shuo
动不动就	
破门而入	
浅尝辄止	浅qian
形单影只	单dan
拼图游戏	戏xi
无师自通	无wu
来自西方	
生不逢时	
各有所爱	
化敌为友	
势单力薄	单dan|薄bo
望其项背	其qi
仰天长啸	长chang
振聋发聩	
酩酊大醉	大da
惨痛教训	
近亲结婚	亲qin
勒索钱财	勒le
个人所得	得de
耄耋之年	
巧取豪夺	
孝顺父母	
一颦一笑	
站立起来	
正面冲突	
放声大笑	大da
胡编乱造	
不择手段	择ze
频频点头	
从南到北	南nan
波斯尼亚	
搞什么鬼	什shen|么me
拔得头筹	得de
歪歪扭扭	
反客为主	
排除万难	万wan
意志坚强	强qiang
各行其是	行xing|其qi
七手八脚	脚jiao
心灵手巧	
以诚待人	
月满西楼	
举不胜举	
三角函数	角jiao|数shu
触景生情	
三大战役	大da
经年累月	
面目狰狞	
一年多来	
大马士革	大da|革ge
腾云驾雾	
成竹在胸	
遵章守纪	
正儿八经	
六十多岁	六liu
品学兼优	
只欠东风	
十字街头	
鸡犬不宁	
母亲的手	亲qin|的de
罪大恶极	大da|恶e
歪打正着	着zhao
独具一格	
良药苦口	
生活水准	
喜迁新居	
奴隶社会	会hui
排兵布阵	
日理万机	万wan
义无反顾	无wu
真人真事	
既成事实	
长足进展	长chang
从头至尾	尾wei
大名鼎鼎	大da
逃避责任	
稳稳当当	
遨游太空	
耳闻目睹	
步步高升	
风华绝代	
人民公社	
贪图便宜	便pian
误打误撞	
相互依存	
拂袖而去	拂fu
令人心醉	
舆论压力	
光阴似箭	似si
种族主义	种zhong
风云变幻	
鬼话连篇	
干劲十足	劲jin
病入膏肓	
大吵大闹	大da|大da
鸡犬升天	
私人生活	
饿着肚子	着zhe
何方神圣	
盘根错节	
以退为进	
事已至此	
蜂拥而上	
喜怒哀乐	乐le
电话铃响	
特殊符号	
轻车简从	车che
惨无人道	无wu
一饱眼福	
阿猫阿狗	阿a|阿a
传为佳话	传chuan
大发脾气	大da
眉来眼去	
胜券在握	券quan
坦诚相见	见jian
因祸得福	得de
由北向南	南nan
证据不足	
身材矮小	
欢喜冤家	家jia
无则加勉	无wu
城市户口	
进退自如	
晒晒太阳	
手无寸铁	无wu
无本之木	无wu
铁石心肠	石shi
表里如一	
牛鬼蛇神	蛇she
同道中人	
毁誉参半	参can
无出其右	无wu|其qi
金无足赤	无wu
人人都有	都dou
双重性格	重chong
余音绕梁	
沉重负担	重zhong
劳燕分飞	
舞文弄墨	弄nong
喜获丰收	
顺手牵羊	
忠厚老实	
提前释放	提ti
横扫千军	
重操旧业	重chong
殊死搏斗	
人人自危	
游人如织	
州立大学	大da
面黄肌瘦	
请相信我	
有害无益	无wu
见得多了	见jian|得de|了le
立地成佛	地di|佛fo
五音不全	
不远万里	万wan
避而不谈	
延安精神	
人文学科	
前仰后合	合he
树大招风	大da
风声鹤唳	
你要记住	
头昏眼花	
经济成就	
未婚先孕	
不请自来	
单刀直入	单dan
各有不同	
莱温斯基	
名垂青史	
以和为贵	和he
面目可憎	
已成定局	
有情有义	
涨红了脸	红hong|了le
低息贷款	
扭转乾坤	转zhuan|乾qian
拍手叫好	
文过饰非	
点头称是	称cheng
放手一搏	
人手一册	
已不再是	
吞云吐雾	
发表演说	说shuo
是非曲直	
北回归线	
可用内存	
腰缠万贯	万wan
不法之徒	
不明就里	
毫无准备	无wu
人手不够	
勃勃生机	
软体动物	
三权分立	
心存侥幸	侥jiao
性情温和	和he
债务纠纷	
儿女情长	长chang
大智若愚	大da|若ruo
这个数目	这zhe|数shu
大开眼界	大da
胆大包天	大da
顷刻之间	
粗茶淡饭	
风雨交加	
小富即安	
乡土气息	
像模像样	模mu
便衣警察	便bian
光宗耀祖	
我答应你	
遮天蔽日	
语法结构	
感到不满	
心乱如麻	
居功自傲	
一举两得	得de
封建时代	
荒郊野外	
孟加拉湾	
走村串户	
不二法门	
百发百中	百bai|百bai
表面温度	度du
知识渊博	识shi
目光呆滞	
大江东去	大da
夫妻关系	系xi
绿水青山	绿lv
水天一色	色se
落英缤纷	落luo
灰心丧气	
丧尽天良	
祝你成功	
风吹日晒	
高高挂起	
奇奇怪怪	奇qi|奇qi
才能做到	
愤世嫉俗	
翻江倒海	
和平主义	和he
围魏救赵	
时来运转	转zhuan
第十五章	
铁面无私	无wu
龇牙咧嘴	
小康之家	家jia
抽水马桶	
出了毛病	了le
感情破裂	
赞不绝口	
咫尺天涯	尺chi
主动提出	提ti
纵横驰骋	
贵重物品	重zhong
实况转播	转zhuan
说来话长	说shuo|长chang
营业网点	
象形文字	
二氧化氮	
行侠仗义	行xing
慷慨大方	大da
难以言表	
水火不容	
助纣为虐	
贻笑大方	大da
不得好死	得de
枯木逢春	
上情下达	
积累资金	
有色眼镜	色se
政治势力	
身材魁梧	
鞭长莫及	长chang
遍地开花	地di
无处可逃	无wu
足智多谋	
人多势众	
长袖善舞	长chang
杀出重围	重chong
封建王朝	朝chao
空袭警报	
无一幸免	无wu
星岛日报	
常见故障	见jian
缺医少药	
人心所向	
偿付能力	
关停并转	转zhuan
如何防止	
争强好胜	强qiang
青春年少	
反目成仇	仇chou
邯郸学步	
无心插柳	无wu
话虽如此	
觥筹交错	
生财有道	
开怀畅饮	
退休工人	
一笑置之	
重复劳动	重chong
见风使舵	见jian|舵duo
实至名归	
心驰神往	
美中关系	系xi
不辞劳苦	
寸草不生	
自由恋爱	
守身如玉	
不了了之	了liao|了liao
可亲可敬	亲qin
一面之缘	
按部就班	
按图索骥	
二次革命	革ge
半死不活	
个人崇拜	
路人皆知	
商讨对策	
同父异母	
一命呜呼	
火控系统	系xi
五颜六色	六liu|色se
九九重阳	重chong
引咎辞职	
出于无奈	无wu
团体冠军	
越俎代庖	
非常吃惊	
草木皆兵	
说不下去	说shuo
气势如虹	虹hong
名扬四海	
自吹自擂	
战云密布	
不解风情	解jie
天地万物	地di|万wan
星级饭店	
伤天害理	
说走就走	说shuo
一波未平	
禁止通行	行xing
闭关锁国	
困惑不解	解jie
两天晒网	
羽毛球赛	
抢救无效	无wu
露宿街头	露lu|宿su
大腹便便	大da|便pian|便pian
东奔西跑	
望梅止渴	
结婚证书	
动真格的	的de
多次要求	
尖酸刻薄	薄bo
脸色铁青	色se
如坐针毡	
否极泰来	否pi
联合王国	合he
寥寥数语	数shu
权钱交易	
文化革命	革ge
自我表现	
别具匠心	
一会儿后	会hui
展翅飞翔	
泱泱大国	大da
迎面扑来	
珠光宝气	
三国时代	
常规武器	
混口饭吃	
隔岸观火	
一哄而起	
挑三拣四	
祝你快乐	乐le
诲人不倦	
死而复生	
广播体操	广guang
好好先生	
刻舟求剑	
文武双全	
血肉横飞	血xue
我们将要	
寒气袭人	
万马奔腾	万wan
惶惶不安	
顺流而下	
擅离职守	
喜怒无常	无wu
临时代办	
偷换概念	
热爱劳动	
啧啧称奇	称cheng|奇qi
个人用户	
留美学生	
目不斜视	
强人所难	强qiang
与此相关	
看不见你	见jian
老调重弹	调diao|重chong|弹tan
平白无故	无wu
人仰马翻	
千里之行	行xing
中直机关	
拉帮结伙	
祝你幸福	
满口答应	
心灵相通	
田径运动	
吃吃喝喝	
高低不平	
恭贺新禧	
片刻之间	
前些时候	
大局已定	大da
眉头一皱	
心浮气躁	
利令智昏	
衣锦还乡	还huan
访贫问苦	
没有了你	没mei|了le
