# 8万精准超小词库
# 原始出处未知，原词中多音字注音移除，补充完整拼音，第一个词“是的这个”改成“是的”
# https://github.com/studyzy/imewlconverter/blob/master/参考/8万精准超小词库.txt
#
# 词语	拼音	多音字备注

喜悦之情	xi yue zhi qing	
午夜凶铃	wu ye xiong ling	
重男轻女	zhong nan qing nv	重zhong
风光秀丽	feng guang xiu li	
人文主义	ren wen zhu yi	
生产过剩	sheng chan guo sheng	
文学批评	wen xue pi ping	
掩人耳目	yan ren er mu	
不利地位	bu li di wei	地di
无话不谈	wu hua bu tan	无wu
毅然决然	yi ran jue ran	
点头答应	dian tou da ying	
难以预测	nan yi yu ce	
人的本质	ren de ben zhi	的de
人无完人	ren wu wan ren	无wu
说普通话	shuo pu tong hua	说shuo
白天黑夜	bai tian hei ye	
辛苦工作	xin gu gong zuo	
言听计从	yan ting ji cong	
不畏艰险	bu wei jian xian	
聚众赌博	ju zhong du bo	
十七世纪	shi qi shi ji	
实况录像	shi kuang lu xiang	
玩具娃娃	wan ju wa wa	
彻彻底底	che che di di	底di|底di
燃气轮机	ran qi lun ji	
笑逐颜开	xiao zhu yan kai	
喜笑颜开	xi xiao yan kai	
百里挑一	bai li tiao yi	百bai
加快脚步	jia kuai jiao bu	脚jiao
恍如隔世	huang ru ge shi	
火光冲天	huo guang chong tian	
政治委员	zheng zhi wei yuan	员yuan
依然如故	yi ran ru gu	
高抬贵手	gao tai gui shou	
摆在面前	bai zai mian qian	
别有洞天	bie you dong tian	
访问学者	fang wen xue zhe	
分秒必争	fen miao bi zheng	
同工同酬	tong gong tong chou	
不下去了	bu xia qu le	了le
糖衣炮弹	tang yi pao dan	炮pao|弹dan
分崩离析	fen beng li xi	
话不投机	hua bu tou ji	
不留痕迹	bu liu hen ji	
一锤定音	yi chui ding yin	
鼻青脸肿	bi qing lian zhong	
刮风下雨	gua feng xia yu	
亲生父母	qin sheng fu mu	亲qin
北京烤鸭	bei jing kao ya	
不骄不躁	bu jiao bu zao	
党纪国法	dang ji guo fa	
亿万富翁	yi wan fu weng	万wan
呼朋唤友	hu peng huan you	
酒后开车	jiu hou kai che	车che
狂妄自大	kuang wang zi da	大da
约法三章	yue fa san zhang	约yue
黄土高坡	huang tu gao po	
深谋远虑	shen mou yuan lv	
一见倾心	yi jian qing xin	见jian
不会答应	bu hui da ying	会hui
葡萄牙人	pu tao ya ren	
走南闯北	zou nan chuang bei	南nan
六亲不认	liu qin bu ren	六liu|亲qin
高考作文	gao kao zuo wen	
亚欧大陆	ya ou da lu	大da|陆lu
生气勃勃	sheng qi bei bei	
所向无敌	suo xiang wu di	无wu
不太清楚	bu tai qing chu	
登堂入室	deng tang ru shi	
脱脂奶粉	tuo zhi nai fen	
一无所有	yi wu suo you	无wu
可怜巴巴	ke lian ba ba	
没头没脑	mei tou mei nao	没mei|没mei
安定下来	an ding xia lai	
二十二年	er shi er nian	
如今已是	ru jin yi shi	
阴魂不散	yin hun bu san	
背井离乡	bei jing li xiang	
看也不看	kan ye bu kan	
成败得失	cheng bai de shi	得de
慌不择路	huang bu ze lu	择ze
内外勾结	na wai gou jie	
破涕为笑	po ti wei xiao	
无米之炊	wu mi zhi chui	无wu
欲盖弥彰	yu gai mi zhang	盖gai
忙而不乱	mang er bu luan	
丢人现眼	diu ren xian yan	
挤眉弄眼	ji mei nong yan	弄nong
曲曲折折	qu qu zhe zhe	折zhe|折zhe
表示敬意	biao shi jing yi	
天崩地裂	tian beng di lie	地di
一再表示	yi zai biao shi	
四大美女	si da mei nv	大da
复合肥料	fu he fei liao	合he
长年累月	chang nian lei yue	长chang
有失偏颇	you shi pian po	
停薪留职	ting xin liu zhi	
超乎寻常	chao hu xun chang	寻xun
良辰美景	liang chen mei jing	
破土动工	po tu dong gong	
徒劳无功	tu lao wu gong	无wu
比较落后	bi jiao luo hou	落luo
魂不守舍	hun bu shou she	
无事生非	wu shi sheng fei	无wu
勤奋努力	qin fen nu li	
说文解字	shuo wen jie zi	说shuo|解jie
不惜重金	bu xi zhong jin	重zhong
惊人之举	jing ren zhi ju	
无疾而终	wu ji er zhong	无wu
呐喊助威	na han chu wei	呐na
庸人自扰	yong ren zi rao	
如果我说	ru guo wo shuo	说shuo
节衣缩食	jie yi suo shi	缩suo|食shi
息事宁人	xi shi ning ren	
盲人摸象	mang ren mo xiang	
任其发展	ren qi fa zhan	其qi
大干一场	da gan yi chang	大da
倒行逆施	dao xing ni shi	行xing
口口相传	kou kou xiang chuan	传chuan
亿万人民	yi wan ren min	万wan
骑虎难下	qi hu nan xia	骑qi
前途未卜	qian tu wei bu	卜bu
人人喊打	ren ren han da	
经久不息	jing jiu bu xi	
为非作歹	wei fei zuo dai	
传道授业	chuan dao shou ye	传chuan
特技飞行	te ji fei xing	行xing
忽明忽暗	hu ming hu an	
国家机器	guo jia ji qi	家jia
七上八下	qi shang ba xia	
以貌取人	yi mao qu ren	
见钱眼开	jian qian yan kai	见jian
江河日下	jiang he ri xia	
爱上了她	ai shang le jie	了le
百年诞辰	bai nian dan chen	百bai
声东击西	sheng dong ji xi	
投机倒把	tou ji dao ba	
新官上任	xin guan shang ren	
飘飘欲仙	piao piao yu xian	
莫过于此	mo guo yu ci	
兵临城下	bing lin cheng xia	
圣卢西亚	sheng lu xi ya	
越来越近	yue lai yue jin	
百尺竿头	bai chi gan tou	百bai|尺chi
发人深思	fa ren shen si	思si
国有银行	guo you yin hang	行hang
正大光明	zheng da guang ming	大da
直流电机	zhi liu dian ji	
普遍规律	pu bian gui lv	
退居二线	tui ju er xian	
满面笑容	man mian xiao rong	
杀人放火	sha ren fang huo	
绵延不绝	mian yan bu jue	
十二月份	shi er yue bin	
短短几天	duan duan ji tian	
法律援助	fa lv yuan chu	
分庭抗礼	fen ting kang li	
文学语言	wen xue yu yan	
彼此彼此	bi ci bi ci	
地久天长	di jiu tian chang	地di|长chang
走走看看	zou zou kan kan	
班门弄斧	ban men nong fu	弄nong
大义凛然	da yi lin ran	大da
票房收入	piao fang shou ru	房fang
回忆往事	hui yi wang shi	
江山如画	jiang shan ru hua	
口出狂言	kou chu kuang yan	
土著居民	tu zhu ju min	著zhu
浅显易懂	qian xian yi dong	浅qian
传宗接代	chuan zong jie dai	传chuan
大难不死	da nan bu si	大da
英雄好汉	ying xiong hao han	
大闹天宫	da nao tian gong	大da
大风大浪	da feng da lang	大da|大da
人以群分	ren yi qun fen	
生津止渴	sheng jin zhi ke	
空即是色	kong ji shi se	色se
敷衍塞责	fu yan se ze	塞se
惊为天人	jing wei tian ren	
乱作一团	luan zuo yi tuan	
从明年起	cong ming nian qi	
感情丰富	gan qing feng fu	
困难时期	kun nan shi qi	期qi
解析几何	jie xi ji he	解jie
不但如此	bu dan ru ci	
复员军人	fu yuan jun ren	员yuan
二十一年	er shi yi nian	
驻华大使	zhu hua da shi	大da
两肋插刀	liang lei cha dao	肋lei
创造发明	chuang zao fa ming	
洞房花烛	dong fang hua zhu	房fang
黄色笑话	huang se xiao hua	色se
一念之间	yi nian zhi jian	
百年一遇	bai nian yi yu	百bai
揭开序幕	jie kai xu mu	
来者不善	lai zhe bu shan	
乌合之众	wu he zhi zhong	合he
淫秽物品	yin hui wu pin	
抱头痛哭	bao tou tong ku	
初级产品	chu ji chan pin	
悔之晚矣	hui zhi wan yi	
五十多年	wu shi duo nian	
避暑胜地	bi shu sheng di	地di
耳熟能详	er shu nai xiang	熟shu
二十六年	er shi liu nian	六liu
不堪入目	bu kan ru mu	
寸步不离	cun bu bu li	
志同道合	zhi tong dao he	合he
积少成多	ji shao cheng duo	
里应外合	li ying wai he	合he
哪一方面	na yi fang mian	哪na
合法政府	he fa zheng fu	合he
强颜欢笑	qiang yan huan xiao	强qiang
球墨铸铁	qiu mo zhu tie	
人情世故	ren qing shi gu	
血流成河	xue liu cheng he	血xue
血雨腥风	xue yu xing feng	血xue
在天之灵	zai tian zhi ling	
输气管道	shu qi guan dao	
白里透红	bai li tou hong	红hong
封建社会	feng jian she hui	会hui
见过世面	jian guo shi mian	见jian
不苟言笑	bu gou yan xiao	
如饥似渴	ru ji si ke	似si
已经习惯	yi jing xi guan	
意下如何	yi xia ru he	
照明设计	zhao ming she ji	
爱美之心	ai mei zhi xin	
不如说是	bu ru shuo shi	说shuo
大开杀戒	da kai sha jie	大da
孤男寡女	gu nan gua nv	
拉拉扯扯	la la che che	
音容笑貌	yin rong xiao mao	
众说纷纭	zhong shuo fen yun	说shuo
含苞欲放	han bao yu fang	
南征北战	nan zheng bei zhan	南nan
愁眉不展	chou mei bu zhan	
课外作业	ke wai zuo ye	
在劫难逃	zai jie nan tao	
保守主义	bao shou zhu yi	
劳累过度	lao lei guo du	度du
半斤八两	ban jin ba liang	
世说新语	shi shuo xin yu	说shuo
拖拖拉拉	tuo tuo la la	
向下兼容	xiang xia jian rong	
哭丧着脸	ku sang zhe lian	着zhe
不可磨灭	bu ke mo mie	
不冷不热	bu leng bu re	
素面朝天	su mian chao tian	朝chao
支气管炎	zhi qi guan yan	
乐不思蜀	le bu si shu	乐le|思si
初见端倪	chu jian duan ni	见jian
号啕大哭	hao tao da ku	大da
波光粼粼	bo guang lin lin	
过往行人	guo wang xing ren	行xing
为民请命	wei min qing ming	
小鸟依人	xiao niao yi ren	鸟niao
衣衫褴褛	yi shan lan lv	
资金回笼	zi jin hui long	
喜形于色	xi xing yu se	色se
死不瞑目	si bu mian mu	
征婚启事	zheng hun qi shi	
神秘兮兮	shen mi xi xi	秘mi
暮鼓晨钟	mu gu chen zhong	
天长日久	tian chang ri jiu	长chang
精锐部队	jing rui bu dui	
人本主义	ren ben zhu yi	
各自为政	ge zi wei zheng	
皮下注射	pi xia zhu she	
物华天宝	wu hua tian bao	
捕风捉影	bu feng zhuo ying	
七七八八	qi qi ba ba	
宁死不屈	ning si bu qu	
现代汉语	xian dai han yu	
战斗英雄	zhan dou ying xiong	
不亦乐乎	bu yi le hu	乐le
地大物博	di da wu bo	地di|大da
鸡飞狗跳	ji fei gou tao	
满腔热血	man qiang re xue	血xue
四平八稳	si ping ba wen	
一笔勾销	yi bi gou xiao	
中秋月饼	zhong qiu yue bing	
付诸东流	fu zhu dong liu	
一瘸一拐	yi que yi guai	
方方正正	fang fang zheng zheng	
各家各户	ge jia ge hu	家jia
官僚资本	guan liao zi ben	
皓月当空	hao yue dang kong	
长势喜人	zhang shi xi ren	长zhang
大政方针	da zheng fang zhen	大da
化公为私	hua gong wei si	
热稳定性	re wen ding xing	
衣冠楚楚	yi guan chu chu	
由南向北	you nan xiang bei	南nan
省油的灯	sheng you de deng	省sheng|的de
病理变化	bing li bian hua	
耐着性子	nai zhe xing zi	着zhe
替天行道	ti tian xing dao	行xing
席地而坐	xi di er zuo	地di
通信卫星	tong shen wei xing	
恻隐之心	ce yin zhi xin	
不共戴天	bu gong dai tian	
防治效果	fang zhi xiao guo	
一泻千里	yi xie qian li	
三教九流	san jiao jiu liu	
大展宏图	da zhan hong tu	大da
三更半夜	san geng ban ye	
工薪阶层	gong xin jie ceng	
引人入胜	yin ren ru sheng	
加拿大元	jia na da yuan	大da
阿甘正传	a gan zheng zhuan	阿a|传zhuan
处于下风	chu yu xia feng	
服毒自杀	fu dai zi sha	
姑息迁就	gu xi qian jiu	
不免有些	bu mian you suo	
置身事外	zhi shen shi wai	
当头棒喝	dang tou bang he	
流芳百世	liu fang bai shi	百bai
马首是瞻	ma shou shi zhan	
天府之国	tian fu zhi guo	
一念之差	yi nian zhi cha	差cha
年轻貌美	nian qing mao mei	
安度晚年	an du wan nian	度du
头重脚轻	tou zhong jiao qing	重zhong|脚jiao
薪火相传	xin huo xiang chuan	传chuan
旁征博引	bang zheng bo yin	
饮食起居	yin shi qi ju	食shi
废话少说	fei hua shao shuo	说shuo
头脑简单	tou nao jian dan	单dan
无人不知	wu ren bu zhi	无wu
一代新人	yi dai xin ren	
小学同学	xiao xue tong xue	
百舸争流	bai ge zheng liu	百bai
大队人马	da dui ren ma	大da
寒风刺骨	han feng ci gu	
侵犯人权	qin fan ren quan	
舍己为人	she ji wei ren	
装订成册	zhuang ding cheng ce	
相视而笑	xiang shi er xiao	
中国作协	zhong guo zuo xie	
测试报告	ce shi bao gao	
年年有余	nian nian you yu	
人民法庭	ren min fa ting	
头脑灵活	tou nao ling huo	
显得格外	xian de ge wai	得de
血气方刚	xue qi fang gang	血xue
自我反省	zi wo fan xing	省xing
巴尔扎克	ba er zha ke	扎zha
吵吵闹闹	chao chao nao nao	
认识事物	ren shi shi wu	识shi
五谷丰登	wu gu feng deng	谷gu
席卷全球	xi juan quan qiu	
昏死过去	hun si guo qu	
匠心独运	jiang xin du yun	
大逆不道	da ni bu dao	大da
从今天起	cong jin tian qi	
人造纤维	ren zao xian wei	纤xian
黯然神伤	an ran shen shang	
不可战胜	bu ke zhan sheng	
爱屋及乌	ai wu ji wu	
一线生机	yi xian sheng ji	
生日宴会	sheng ri yan hui	会hui
不可改变	bu ke gai bian	
浮游生物	fu you sheng wu	
见招拆招	jian zhao chai zhao	见jian|拆chai
闻风而动	wen feng er dong	
深感不安	shen gan bu an	
无论哪个	wu lun na ge	无wu|哪na
酿成大祸	niang cheng da huo	大da
为之一振	wei zhi yi zhen	
触手可及	chu shou ke ji	
初步查明	chu bu cha ming	查cha
山洪暴发	shan hong bao fa	暴bao
恬不知耻	tian bu zhi chi	
画饼充饥	hua bing chong ji	
心里没底	xin li mei di	没mei|底di
行政院长	xing zheng yuan zhang	行xing|长zhang
真对不起	zhen dui bu qi	
继续革命	ji xu ge ming	革ge
年轻气盛	nian qing qi sheng	盛sheng
世间万物	shi jian wan wu	万wan
语文教材	yu wen jiao cai	
打击乐器	da ji yue qi	乐yue
氢氧化铝	qing yang hua lv	
私人资本	si ren zi ben	
二次开发	er ci kai fa	
身强力壮	shen qiang li zhuang	强qiang
深不见底	shen bu jian di	见jian|底di
感激涕零	gan ji ti ling	
犯罪团伙	fan zui tuan huo	
人机对话	ren ji dui hua	
自筹经费	zi chou jing fei	
不再相信	bu zai xiang shen	
冤假错案	yuan jia cuo an	
无可置疑	wu ke zhi ni	无wu
不惑之年	bu huo zhi nian	
妇孺皆知	fu ru jie zhi	
驱逐出境	qu zhu chu jing	
孤家寡人	gu jia gua ren	家jia
包办代替	bao ban dai ti	
年过半百	nian guo ban bai	百bai
唯物史观	wei wu shi guan	
一错再错	yi cuo zai cuo	
苍白的脸	cang bai de lian	的de
魔高一丈	mo gao yi zhang	
四海为家	si hai wei jia	家jia
头晕眼花	tou yun yan hua	
载入史册	zai ru shi ce	
不由自主	bu you zi zhu	
撒手不管	sa shou bu guan	
无线电波	wu xian dian bo	无wu
中美关系	zhong mei guan xi	系xi
拔苗助长	ba miao chu zhang	长zhang
爱莫能助	ai mo nai chu	
翻云覆雨	fan yun fu yu	
争风吃醋	zheng feng chi cu	
形迹可疑	xing ji ke ni	
兴师动众	xing shi dong zhong	
在困境中	zai kun jing zhong	
打退堂鼓	da tui tang gu	
大大高于	da da gao yu	大da|大da
听不清楚	ting bu qing chu	
林海雪原	lin hai xue yuan	
防守反击	fang shou fan ji	
撒腿就跑	sa tui jiu pao	
丝丝入扣	si si ru kou	
爱理不理	ai li bu li	
人约黄昏	ren yue huang hun	约yue
技不如人	ji bu ru ren	
全然不知	quan ran bu zhi	
骨瘦如柴	gu shou ru chai	
当头一棒	dang tou yi bang	
和好如初	he hao ru chu	和he
绝不可以	jue bu ke yi	
老态龙钟	lao tai long zhong	
妖魔鬼怪	yao mo gui guai	
有何意义	you he yi yi	
交换条件	jiao huan tiao jian	
思前想后	si qian xiang hou	思si
开路先锋	kai lu xian feng	
相互尊重	xiang hu zun zhong	重zhong
烫手山芋	tang shou shan yu	
一家老小	yi jia lao xiao	家jia
强弩之末	qiang nu zhi mo	强qiang
单身贵族	dan shen gui zu	单dan
高档商品	gao dang shang pin	
加速上扬	jia su shang yang	
空洞无物	kong dong wu wu	无wu
来日方长	lai ri fang chang	长chang
气象观测	qi xiang guan ce	
文件修复	wen jian xiu fu	
照本宣科	zhao ben xuan ke	
终其一生	zhong qi yi sheng	其qi
逆流而上	ni liu er shang	
欺上瞒下	qi shang man xia	
一劳永逸	yi lao yong yi	
不辞辛劳	bu ci xin lao	
黄道吉日	huang dao ji ri	
兼听则明	jian ting ze ming	
只字不提	zhi zi bu ti	提ti
谦谦君子	qian qian jun zi	
监守自盗	jian shou zi dao	
涌了出来	yong le chu lai	涌yong|了le
更感兴趣	geng gan xing cu	
何乐不为	he le bu wei	乐le
满腹经纶	man fu jing lun	纶lun
貌不惊人	mao bu jing ren	
言之凿凿	yan zhi zao zao	凿zao|凿zao
光着身子	guang zhe shen zi	着zhe
辛辛苦苦	xin xin gu gu	
信口雌黄	shen kou ci huang	
锦绣前程	jin xiu qian cheng	
无为而治	wu wei er zhi	无wu
大鱼大肉	da yu da rou	大da|大da
千载难逢	qian zai nan feng	
三通一平	san tong yi ping	
北爱尔兰	bei ai er lan	
添油加醋	tian you jia cu	
百年好合	bai nian hao he	百bai|合he
胎死腹中	tai si fu zhong	
五十多岁	wu shi duo sui	
捉摸不定	zhuo mo bu ding	
自立门户	zi li men hu	
不久以后	bu jiu yi hou	
辞职报告	ci zhi bao gao	
厄尔尼诺	e er ni nuo	
真不愧是	zhen bu kui shi	
鸡鸭鱼肉	ji ya yu rou	
自卑心理	zi bei xin li	
假公济私	jia gong ji si	
昂首挺胸	ang shou ting xiong	
赶尽杀绝	gan jin sha jue	
无依无靠	wu yi wu kao	无wu|无wu
掌声雷动	zhang sheng lei dong	
大半辈子	da ban bei zi	大da
爬不起来	pa bu qi lai	
锒铛入狱	lang dang ru yu	铛dang
共进午餐	gong jin wu can	
保家卫国	bao jia wei guo	家jia
附加条件	fu jia tiao jian	
舍不得你	she bu de ni	得de
引狼入室	yin lang ru shi	
执法不公	zhi fa bu gong	
治学严谨	zhi xue yan jin	
空军司令	kong jun si ling	
谋财害命	mou cai hai ming	
文不对题	wen bu dui ti	
中亚地区	zhong ya di qu	地di|区qu
但求无过	dan qiu wu guo	无wu
地下工作	di xia gong zuo	地di
别出心裁	bie chu xin cai	
金玉其外	jin yu qi wai	其qi
日经指数	ri jing zhi shu	数shu
世界货币	shi jie huo bi	
无可挽回	wu ke wan hui	无wu
神经末梢	shen jing mo shao	梢shao
必有我师	bi you wo shi	
裹足不前	guo zu bu qian	
滥杀无辜	lan sha wu gu	无wu
扫地出门	sao di chu men	地di
如雷贯耳	ru lei guan er	
服务员说	fu wu yuan shuo	员yuan|说shuo
动不动就	dong bu dong jiu	
破门而入	po men er ru	
浅尝辄止	qian chang zhe zhi	浅qian
形单影只	xing dan ying zhi	单dan
拼图游戏	pin tu you xi	戏xi
无师自通	wu shi zi tong	无wu
来自西方	lai zi xi fang	
生不逢时	sheng bu feng shi	
各有所爱	ge you suo ai	
化敌为友	hua di wei you	
势单力薄	shi dan li bo	单dan|薄bo
望其项背	wang qi xiang bei	其qi
仰天长啸	ang tian chang xiao	长chang
振聋发聩	zhen long fa kui	
酩酊大醉	ming ding da zui	大da
惨痛教训	can tong jiao xun	
近亲结婚	jin qin jie hun	亲qin
勒索钱财	le suo qian cai	勒le
个人所得	ge ren suo de	得de
耄耋之年	mao die zhi nian	
巧取豪夺	qiao qu hao duo	
孝顺父母	xiao shun fu mu	
一颦一笑	yi pin yi xiao	
站立起来	zhan li qi lai	
正面冲突	zheng mian chong tu	
放声大笑	fang sheng da xiao	大da
胡编乱造	hu bian luan zao	
不择手段	bu ze shou duan	择ze
频频点头	bin bin dian tou	
从南到北	cong nan dao bei	南nan
波斯尼亚	bo si ni ya	
搞什么鬼	gao shen me gui	什shen|么me
拔得头筹	ba de tou chou	得de
歪歪扭扭	wai wai niu niu	
反客为主	fan ke wei zhu	
排除万难	pai chu wan nan	万wan
意志坚强	yi zhi jian qiang	强qiang
各行其是	ge xing qi shi	行xing|其qi
七手八脚	qi shou ba jiao	脚jiao
心灵手巧	xin ling shou qiao	
以诚待人	yi cheng dai ren	
月满西楼	yue man xi lou	
举不胜举	ju bu sheng ju	
三角函数	san jiao han shu	角jiao|数shu
触景生情	chu jing sheng qing	
三大战役	san da zhan yi	大da
经年累月	jing nian lei yue	
面目狰狞	mian mu zheng ning	
一年多来	yi nian duo lai	
大马士革	da ma shi ge	大da|革ge
腾云驾雾	teng yun jia wu	
成竹在胸	cheng zhu zai xiong	
遵章守纪	zun zhang shou ji	
正儿八经	zheng er ba jing	
六十多岁	liu shi duo sui	六liu
品学兼优	pin xue jian you	
只欠东风	zhi qian dong feng	
十字街头	shi zi jie tou	
鸡犬不宁	ji quan bu ning	
母亲的手	mu qin de shou	亲qin|的de
罪大恶极	zui da e ji	大da|恶e
歪打正着	wai da zheng zhao	着zhao
独具一格	du ju yi ge	
良药苦口	liang yao gu kou	
生活水准	sheng huo shui zhun	
喜迁新居	xi qian xin ju	
奴隶社会	nu dai she hui	会hui
排兵布阵	pai bing bu zhen	
日理万机	ri li wan ji	万wan
义无反顾	yi wu fan gu	无wu
真人真事	zhen ren zhen shi	
既成事实	ji cheng shi shi	
长足进展	chang zu jin zhan	长chang
从头至尾	cong tou zhi wei	尾wei
大名鼎鼎	da ming ding ding	大da
逃避责任	tao bi ze ren	
稳稳当当	wen wen dang dang	
遨游太空	ao you tai kong	
耳闻目睹	er wen mu du	
步步高升	bu bu gao sheng	
风华绝代	feng hua jue dai	
人民公社	ren min gong she	
贪图便宜	tan tu pian yi	便pian
误打误撞	wu da wu zhuang	
相互依存	xiang hu yi cun	
拂袖而去	fu xiu er qu	拂fu
令人心醉	ling ren xin zui	
舆论压力	yu lun ya li	
光阴似箭	guang yin si jian	似si
种族主义	zhong zu zhu yi	种zhong
风云变幻	feng yun bian huan	
鬼话连篇	gui hua lian pian	
干劲十足	gan jin shi zu	劲jin
病入膏肓	bing ru gao huang	
大吵大闹	da chao da nao	大da|大da
鸡犬升天	ji quan sheng tian	
私人生活	si ren sheng huo	
饿着肚子	e zhe du zi	着zhe
何方神圣	he fang shen sheng	
盘根错节	pan gen cuo jie	
以退为进	yi tui wei jin	
事已至此	shi yi zhi ci	
蜂拥而上	feng yong er shang	
喜怒哀乐	xi nu ai le	乐le
电话铃响	dian hua ling xiang	
特殊符号	te shu fu hao	
轻车简从	qing che jian cong	车che
惨无人道	can wu ren dao	无wu
一饱眼福	yi bao yan fu	
阿猫阿狗	a mao a gou	阿a|阿a
传为佳话	chuan wei jia hua	传chuan
大发脾气	da fa pi qi	大da
眉来眼去	mei lai yan qu	
胜券在握	sheng quan zai wo	券quan
坦诚相见	tan cheng xiang jian	见jian
因祸得福	yin huo de fu	得de
由北向南	you bei xiang nan	南nan
证据不足	zheng ju bu zu	
身材矮小	shen cai ai xiao	
欢喜冤家	huan xi yuan jia	家jia
无则加勉	wu ze jia mian	无wu
城市户口	cheng shi hu kou	
进退自如	jin tui zi ru	
晒晒太阳	shai shai tai yang	
手无寸铁	shou wu cun tie	无wu
无本之木	wu ben zhi mu	无wu
铁石心肠	tie shi xin chang	石shi
表里如一	biao li ru yi	
牛鬼蛇神	niu gui she shen	蛇she
同道中人	tong dao zhong ren	
毁誉参半	hui yu can ban	参can
无出其右	wu chu qi you	无wu|其qi
金无足赤	jin wu zu chi	无wu
人人都有	ren ren dou you	都dou
双重性格	shuang chong xing ge	重chong
余音绕梁	yu yin rao liang	
沉重负担	chen zhong fu dan	重zhong
劳燕分飞	lao yan fen fei	
舞文弄墨	wu wen nong mo	弄nong
喜获丰收	xi huo feng shou	
顺手牵羊	shun shou qian xiang	
忠厚老实	zhong hou lao shi	
提前释放	ti qian shi fang	提ti
横扫千军	heng sao qian jun	
重操旧业	chong cao jiu ye	重chong
殊死搏斗	shu si bo dou	
人人自危	ren ren zi wei	
游人如织	you ren ru zhi	
州立大学	zhou li da xue	大da
面黄肌瘦	mian huang ji shou	
请相信我	qing xiang shen wo	
有害无益	you hai wu yi	无wu
见得多了	jian de duo le	见jian|得de|了le
立地成佛	li di cheng fo	地di|佛fo
五音不全	wu yin bu quan	
不远万里	bu yuan wan li	万wan
避而不谈	bi er bu tan	
延安精神	yan an jing shen	
人文学科	ren wen xue ke	
前仰后合	qian ang hou he	合he
树大招风	shu da zhao feng	大da
风声鹤唳	feng sheng he li	
你要记住	ni yao ji zhu	
头昏眼花	tou hun yan hua	
经济成就	jing ji cheng jiu	
未婚先孕	wei hun xian yun	
不请自来	bu qing zi lai	
单刀直入	dan dao zhi ru	单dan
各有不同	ge you bu tong	
莱温斯基	lai wen si ji	
名垂青史	ming chui qing shi	
以和为贵	yi he wei gui	和he
面目可憎	mian mu ke zeng	
已成定局	yi cheng ding ju	
有情有义	you qing you yi	
涨红了脸	zhang hong le lian	红hong|了le
低息贷款	di xi dai kuan	
扭转乾坤	niu zhuan qian kun	转zhuan|乾qian
拍手叫好	pai shou jiao hao	
文过饰非	wen guo shi fei	
点头称是	dian tou cheng shi	称cheng
放手一搏	fang shou yi bo	
人手一册	ren shou yi ce	
已不再是	yi bu zai shi	
吞云吐雾	tun yun tu wu	
发表演说	fa biao yan shuo	说shuo
是非曲直	shi fei qu zhi	
北回归线	bei hui gui xian	
可用内存	ke yong na cun	
腰缠万贯	yao chan wan guan	万wan
不法之徒	bu fa zhi tu	
不明就里	bu ming jiu li	
毫无准备	hao wu zhun bei	无wu
人手不够	ren shou bu gou	
勃勃生机	bei bei sheng ji	
软体动物	ruan ben dong wu	
三权分立	san quan fen li	
心存侥幸	xin cun jiao xing	侥jiao
性情温和	xing qing wen he	和he
债务纠纷	zhai wu jiu fen	
儿女情长	er nv qing chang	长chang
大智若愚	da zhi ruo yu	大da|若ruo
这个数目	zhe ge shu mu	这zhe|数shu
大开眼界	da kai yan jie	大da
胆大包天	dan da bao tian	大da
顷刻之间	qing ke zhi jian	
粗茶淡饭	cu cha dan fan	
风雨交加	feng yu jiao jia	
小富即安	xiao fu ji an	
乡土气息	xiang tu qi xi	
像模像样	xiang mu xiang yang	模mu
便衣警察	bian yi jing cha	便bian
光宗耀祖	guang zong yao zu	
我答应你	wo da ying ni	
遮天蔽日	zhe tian bi ri	
语法结构	yu fa jie gou	
感到不满	gan dao bu man	
心乱如麻	xin luan ru ma	
居功自傲	ju gong zi ao	
一举两得	yi ju liang de	得de
封建时代	feng jian shi dai	
荒郊野外	huang jiao ye wai	
孟加拉湾	meng jia la wan	
走村串户	zou cun chuan hu	
不二法门	bu er fa men	
百发百中	bai fa bai zhong	百bai|百bai
表面温度	biao mian wen du	度du
知识渊博	zhi shi yuan bo	识shi
目光呆滞	mu guang dai zhi	
大江东去	da jiang dong qu	大da
夫妻关系	fu qi guan xi	系xi
绿水青山	lv shui qing shan	绿lv
水天一色	shui tian yi se	色se
落英缤纷	luo ying bin fen	落luo
灰心丧气	hui xin sang qi	
丧尽天良	sang jin tian liang	
祝你成功	zhou ni cheng gong	
风吹日晒	feng chui ri shai	
高高挂起	gao gao gua qi	
奇奇怪怪	qi qi guai guai	奇qi|奇qi
才能做到	cai nai zuo dao	
愤世嫉俗	fen shi ji su	
翻江倒海	fan jiang dao hai	
和平主义	he ping zhu yi	和he
围魏救赵	wei wei jiu zhao	
时来运转	shi lai yun zhuan	转zhuan
第十五章	di shi wu zhang	
铁面无私	tie mian wu si	无wu
龇牙咧嘴	zi ya lie zui	
小康之家	xiao kang zhi jia	家jia
抽水马桶	chou shui ma tong	
出了毛病	chu le ma bing	了le
感情破裂	gan qing po lie	
赞不绝口	zan bu jue kou	
咫尺天涯	zhi chi tian ya	尺chi
主动提出	zhu dong ti chu	提ti
纵横驰骋	zong heng chi cheng	
贵重物品	gui zhong wu pin	重zhong
实况转播	shi kuang zhuan bo	转zhuan
说来话长	shuo lai hua chang	说shuo|长chang
营业网点	ying ye wang dian	
